,Tweets
1198,@Enginerd786 @IndicSpectrum He Scared To Brahmastra Manipulated Collections I Mean How Much Negativity He Spreaded 😱
1199,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
1200,"RT @Mohitja200: #ArchanaGautam was on fire today😂. 
The way she is fighting alone.. The lone warrior😂😂... It's also funny.. But this is ver…"
1201,@RVCJ_FB Brahmastra ke actual box office collections se niraash ho gaya hai banda
1202,"@gurdeep_0701 Ranking based on Story &amp; Alia’s part.

Kapoor &amp; sons
Raazi
2states
Dear Zindagi 
Highway
Gangubai 
Gully Boy
Brahmastra 
Humpty sharma

Rest u can put in any order."
1203,I don't think #Brahmastra is a BLOCKBUSTER as portrayed by paid media etc. Yes it has performed better than expected but it has definitely not been a game changer collection wise &amp; more importantly as a movie it is below average with some cool visual effects and that's it.
1204,"#ArchanaGautam was on fire today😂. 
The way she is fighting alone.. The lone warrior😂😂... It's also funny.. But this is very good for the show... I am loving her game.. Again she was using her brahmastra ( Sil batta) for the task😂
#BiggBoss16 #BB16 #biggboss"
1205,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1206,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
1207,"RT @KreatelyMedia: 🚨 Facts

🔸In Mar 2021, AK quit Twitter
🔸Today KJo quit Twitter
🔸SAK is not even on Twitter

So after the Blockbuster hit…"
1208,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1209,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1210,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1211,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
1212,RT @NishitShawHere: #Brahmastra almost SOLD OUT in Thailand 🇹🇭🔥🔥🔥 All credits to #AliaBhatt for her popularity in the country post #Ganguba…
1213,"Check Out the Planning Date for #Dhamaka 🔥

Almost Conform ✅

With Hit Talk Three Weeks Easy Run Till #Avatar2

#DhamakaMassImpact
#DhamakaDoubleImpact

#NBK107 #Dasara #Agent #SSMB28 #TheGhost #Mega154 #GodFather #Salaar #NTR30 #HIT2 #Brahmastra #Prince #Adipurush #Telugu #TFI https://t.co/Ireh1dX6b0"
1214,@GemsOfBollywood Abe takle part 2 and 3 is announced already.brahmastra is hit that's why producers making it . Cry hard and keep burnol for future parts takle 😂
1215,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1216,"Australia gross till Oct 9th

#Brahmastra A$ 1,736,764
#VikramVedha A$ 523,433
#GoodBye A$ 29,480

#BaabeBhangraPaundeNe A$ 298,431

#PremGeet3 A$ 256,543"
1217,"RT @letscinema: #LetsCinema EXCLUSIVE. Current totals for Indian films at the UK box office 🇬🇧

1. Ponniyin Selvan - £1,118,306
2. Brahmast…"
1218,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
1219,"RT @Maynika9: Hot Koffee: 
Netizens throng into the YouTube Channel of @krk as Karan Johar quits Twitter, after KRK's detailed expose of Br…"
1220,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
1221,RT @qammander: @MaycryDeville @HR_Gunslingers Reliance has not confirmed it. Few among Trade is using that figure to belittle it's collecti…
1222,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
1223,"@shivaankit6667 @HeyyRahuul @Billysophist @GemsOfBollywood I'm not against TKF, before you lash out at me for supporting Brahmastra. TKF was very necessary and timely"
1224,"RT @RanbirKUniverse: Brahmastra as well as YJHD album ruling the charts 💥💥

#brahmastra https://t.co/AcRMffSf37"
1225,"@shivaankit6667 @HeyyRahuul @Billysophist @GemsOfBollywood TKF had exceptional word of mouth and deserved every rupee it made. Brahmastra had way too much negativity, just like every bollywood movie. Also, 5 years from now if someone over dinner wants to watch a movie, they'll naturally prefer Brahmastra, but it's just about BO for you"
1226,"@sus39057121 @wakeup_amit03 BRAHMASTRA has already been declared a Hit Lol 😂
#KanganaRanaut has 30+ DISASTER'S in her Filmography worry about that😂&amp; you guys should be the last one to troll someone on B.O when ur Idol is struggling to cross 2cr lifetime with big Budget films😭😭 https://t.co/ltKGivKxFD"
1227,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1228,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1229,"RT @abhishGa: He will get you arrested again. So thanks to Samosa Critics, #Brahmastra is such a blockbuster that @karanjohar had to leave…"
1230,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1231,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1232,"Massage  full service, body full body in Dubai
#Dubaitravel #massage #TalkThatTalk #Ukraine #Brahmastra #dubaigirls 
#saudiarabic #dubaitouris 
My WhatsApp chat for details https://t.co/okIWirKoAh
Calling +971588981687 https://t.co/JN2srakynG https://t.co/VQlYk3WXYf https://t.co/ufvGVwZBnv"
1233,RT @pubzudarlingye: 4. Its unfair to target Adipurush based on special effects/vfx with Hollywood films like Avatar or currently Brahmastra…
1234,RT @CinemaPoint1: #Brahmastra worldwide box office ₹ 430 crore as of today. #RanbirKapoor and #AliaBhatt’s first landmark film.
1235,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1236,"@MaycryDeville @HR_Gunslingers Reliance has not confirmed it. Few among Trade is using that figure to belittle it's collection. The same trade uses satellite rights, music rights to show brahmastra is hit when the box office verdict of both should be similar."
1237,"@HeyyRahuul @AghorSoumitra @Billysophist @GemsOfBollywood Dear @HeyyRahuul .  Kashmir files did very well in South market despite being having less number of screens compared to brahmastra, Even TicketPrice of Kashmir files was very less😏. 

WW kashmir files 340cr 
Budgt just 20cr

Brahmastra WW collects 420cr
Budget  410cr+ 😂😂😂"
1238,"RT @SRKMIDDLEFINGER: Best Cameo of 2022! 
No debate 🔥

#ShahRukhKhan𓀠 #Brahmastra https://t.co/2lwm5RGeuV"
1239,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1240,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
1241,RT @aroraabhishek34: #biggboss16 Archana Gautam Use Brahmastra ( Sil batta ) In Captaincy Task 😂😂 #ArchanaGautam #biggboss16 #BB16 https://…
1242,"RT @KreatelyMedia: 🚨 Facts

🔸In Mar 2021, AK quit Twitter
🔸Today KJo quit Twitter
🔸SAK is not even on Twitter

So after the Blockbuster hit…"
1243,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1244,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
1245,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
1246,"@shivaankit6667 @HeyyRahuul @Billysophist @GemsOfBollywood Again, just because a film collects X crores at the BO, doesn't mean that it's a hit/flop. The ""promotion"" cost you're mentioning will be recovered by OTT viewership. But anyway, Brahmastra is a flop and bollywood is the worst"
1247,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
1248,"RT @Harmindarboxoff: I personally feel from the hints given in part 1 of #Brahmastra , that #RanbirKapoor will be Dev , he will undergo mas…"
1249,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
1250,"RT @SRKMIDDLEFINGER: Best Cameo of 2022! 
No debate 🔥

#ShahRukhKhan𓀠 #Brahmastra https://t.co/2lwm5RGeuV"
1251,"RT @SRKMIDDLEFINGER: Best Cameo of 2022! 
No debate 🔥

#ShahRukhKhan𓀠 #Brahmastra https://t.co/2lwm5RGeuV"
1252,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
1253,"RT @BOWorldwide: A Look Test From Brahmastra For All Ranbir Kapoor Fans, Mother Neetu Kapoor Shared On Instagram!
#RanbirKapoor #Brahmastra…"
1254,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1255,"RT @humblekapoor: RANBIR AS DEV AND SHIVA
#brahmastra 
We got dev clue way before release https://t.co/eOyJdKGQC6"
1256,"RT @humblekapoor: RANBIR AS DEV AND SHIVA
#brahmastra 
We got dev clue way before release https://t.co/eOyJdKGQC6"
1257,"RT @BOWorldwide: A Look Test From Brahmastra For All Ranbir Kapoor Fans, Mother Neetu Kapoor Shared On Instagram!
#RanbirKapoor #Brahmastra…"
1258,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
1259,"RT @Bollyhungama: #Brahmastra star #RanbirKapoor posing shirtless in unseen pics will make your heart skip a beat; see pics
https://t.co/gr…"
1260,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
1261,"RT @go4ashi: It has been reported that After the epic flop of #Brahmastra movie, @karanjohar decided to step down as Producer and decided t…"
1262,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1263,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
1264,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1265,"RT @SRKMIDDLEFINGER: Best Cameo of 2022! 
No debate 🔥

#ShahRukhKhan𓀠 #Brahmastra https://t.co/2lwm5RGeuV"
1266,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
1267,RT @snowspeaketh: The no of body types #RanbirKapoor had in the shooting span of #Brahmastra is insane(there are more). Even the muscular v…
1268,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1269,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1270,"RT @letscinema: #LetsCinema EXCLUSIVE. Current totals for Indian films at the UK box office 🇬🇧

1. Ponniyin Selvan - £1,118,306
2. Brahmast…"
1271,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1272,"RT @RanbirKUniverse: Brahmastra as well as YJHD album ruling the charts 💥💥

#brahmastra https://t.co/AcRMffSf37"
1273,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1274,"RT @Devoted2SRK57: 𝐒𝐞𝐞𝐧 𝐨𝐫 𝐔𝐧𝐬𝐞𝐞𝐧?😍 
Just look at his gorgeous profile! 
#KingKHAN 👑 #SRK 
#ShahRukhKhan
#KingOfBollywood 🎥 @iamsrk 
#ShahR…"
1275,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
1276,"RT @RanbirKUniverse: Brahmastra as well as YJHD album ruling the charts 💥💥

#brahmastra https://t.co/AcRMffSf37"
1277,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1278,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
1279,"RT @MJ_007Club: Karan Johar with 17+ mn followers bids goodbye to Twitter says, ""Making space for more positive energies; too much trolling…"
1280,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
1281,"RT @MartiansHrx: Who can play the DEV character in brahmastra part 2?
#brahmastra #Hrithik #Ranbir #AyanMukherji #ArijitSingh"
1282,"RT @MartiansHrx: Instead of viewing #Brahmastra only one film and criticizing it on story part is not right, as it is a trilogy and has to…"
1283,RT @CinemaPoint1: #Brahmastra worldwide box office ₹ 430 crore as of today. #RanbirKapoor and #AliaBhatt’s first landmark film.
1284,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
1285,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1286,"RT @seeuatthemovie: never getting over this #Brahmastra 
https://t.co/zjplXb92V4"
1287,"𝐒𝐞𝐞𝐧 𝐨𝐫 𝐔𝐧𝐬𝐞𝐞𝐧?😍 
Just look at his gorgeous profile! 
#KingKHAN 👑 #SRK 
#ShahRukhKhan
#KingOfBollywood 🎥 @iamsrk 
#ShahRukhKhan𓀠 #SRK𓃵 #Pathaan 
#KingOfIndianFilmIndustry 🎞 ⭐️
Watch #SRKCameos in #rocketrythenambieffect #laalsinghchaddha &amp; #brahmastra https://t.co/ZQLDebvtWW"
1288,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
1289,"RT @MartiansHrx: Which character/s out of them will be back in #Brahmastra part 2?
@boyfriendkapoor @RanbirKTeam @seeuatthemovie
@RanbirKUn…"
1290,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
1291,"RT @htcity: #RanbirKapoor wins hearts across the internet as he flaunts his chiseled body in unseen photos from #Brahmastra 

#Ranbir #Acto…"
1292,"RT @bbkhabriilal: #ArchanaGautam is using her main astra ""Sil batta"" in the task 🤣🤣🤣.

 her #Brahmastra

#biggboss16 https://t.co/xOLg2fJQCl"
1293,"RT @MartiansHrx: As a cinema lover, we should also bring out the points which can be improved in future movies rather than going extreme po…"
1294,"RT @Harmindarboxoff: It is unfair to compare #Brahmastra based on direct method, post the pandemic the whole world economy has undergone a…"
1295,RT @pubzudarlingye: 4. Its unfair to target Adipurush based on special effects/vfx with Hollywood films like Avatar or currently Brahmastra…
1296,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1297,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1298,RT @CinemaPoint1: #Brahmastra worldwide box office ₹ 430 crore as of today. #RanbirKapoor and #AliaBhatt’s first landmark film.
1299,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
1300,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1301,"RT @humblekapoor: RANBIR AS DEV AND SHIVA
#brahmastra 
We got dev clue way before release https://t.co/eOyJdKGQC6"
1302,"RT @letscinema: #LetsCinema EXCLUSIVE. Current totals for Indian films at the UK box office 🇬🇧

1. Ponniyin Selvan - £1,118,306
2. Brahmast…"
1303,"RT @black_demon_5: Still Katrina has more and various dialogues  in promo jitne alia ke pure brahmastra movie me nahi the.
Shhhivvva
#Katri…"
1304,"RT @MJ_007Club: Karan Johar with 17+ mn followers bids goodbye to Twitter says, ""Making space for more positive energies; too much trolling…"
1305,"@VoraEf @snowspeaketh @BlogDrive Forcing lead actors? Sar pr bandook lagaya tha kya? Leading trade journalists, even official @Box_Off_India said #Brahmastra needed 250 crores at domestic box office to be declared a clean hit. It earned 270 crores till now. Worldwide its already 430 crore+ kis angle se flop h?"
1306,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
1307,"RT @RanbirKUniverse: Brahmastra as well as YJHD album ruling the charts 💥💥

#brahmastra https://t.co/AcRMffSf37"
1308,"RT @MJ_007Club: Karan Johar with 17+ mn followers bids goodbye to Twitter says, ""Making space for more positive energies; too much trolling…"
1309,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
1310,@mishra_shantanu @GemsOfBollywood Hahahaha. He went and watched Brahmastra first day first show and later started talking on it. What a hypocrite
1311,"RT @MJ_007Club: Karan Johar with 17+ mn followers bids goodbye to Twitter says, ""Making space for more positive energies; too much trolling…"
1312,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
1313,"RT @Harmindarboxoff: I personally feel from the hints given in part 1 of #Brahmastra , that #RanbirKapoor will be Dev , he will undergo mas…"
1314,RT @Harmindarboxoff: I heard from that @kamaalrkhan has used mine and @taran_adarsh name in his latest video today and called the collectio…
1315,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1316,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1317,"@GemsOfBollywood As per current assessment, #Brahmastra has been a bigger Burnol for @GemsOfBollywood  than #VikramVedha and hence retains the title of #BiggestBurnolMade"
1318,@PeterKueng1 @Its_CineHub Brahmastra has been declared Hit by BOI something which has been missing in #KanganaRanaut s filmography since ages😭itne DISASTERS dene k baad bhi iss Flop actress ko sirf political background k wajh se films mil rhi💯Now she needs to drink Alia's bath water to get a Hit 🔥🤣😆 https://t.co/VrNmfJstYH
1319,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
1320,"RT @MeRamSinghJain: @GemsOfBollywood As per the current assessment, Sanjeev Takla would need to be sent to Agra Pagalkhaana when the makers…"
1321,RT @snowspeaketh: The no of body types #RanbirKapoor had in the shooting span of #Brahmastra is insane(there are more). Even the muscular v…
1322,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1323,RT @HarshalLahane1: @jammypants4 I'm srk fan but still thinks Rolex cameo&gt;&gt;&gt;srk's brahmastra cameo
1324,"RT @MJ_007Club: Karan Johar with 17+ mn followers bids goodbye to Twitter says, ""Making space for more positive energies; too much trolling…"
1325,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
1326,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
1327,"RT @MJ_007Club: Karan Johar with 17+ mn followers bids goodbye to Twitter says, ""Making space for more positive energies; too much trolling…"
1328,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
1329,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1330,"RT @MJ_007Club: Karan Johar with 17+ mn followers bids goodbye to Twitter says, ""Making space for more positive energies; too much trolling…"
1331,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1332,"Karan Johar with 17+ mn followers bids goodbye to Twitter says, ""Making space for more positive energies; too much trolling"". I'm sure he'll return to Twitter before his next movie release

But didn't he produce Brahmastra, biggest blockbuster since birth of universe? #KaranJohar"
1333,"@harshiniiii_ Highway,2 States,raazi,Student of the year,Gangu,Gully boy,Humpty Sharma &amp; badrinath,brahmastra, Kapoor &amp;sons..

Remaining chudale"
1334,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1335,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1336,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
1337,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
1338,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1339,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
1340,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1341,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
1342,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
1343,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1344,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1345,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1346,"RT @RanbirKUniverse: Brahmastra as well as YJHD album ruling the charts 💥💥

#brahmastra https://t.co/AcRMffSf37"
1347,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
1348,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1349,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1350,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1351,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1352,RT @pubzudarlingye: 4. Its unfair to target Adipurush based on special effects/vfx with Hollywood films like Avatar or currently Brahmastra…
1353,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
1354,"RT @aBunny_RK: Awaaz de the best motivational track &lt;3 
#Brahmastra https://t.co/1jYGbwK5JV"
1355,RT @Harmindarboxoff: I heard from that @kamaalrkhan has used mine and @taran_adarsh name in his latest video today and called the collectio…
1356,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
1357,@Mridupa21932214 @PlayVALORANT Water brahmastra maybe 😁
1358,"@_PVRCinemas pathetic experience , wasted more than 40 minutes of around 40-50 people,  Brahmastra show Pvr grand high street Pune,  21:25 hrs show Oct 10 '22"
1359,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1360,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
1361,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
1362,"@AghorSoumitra @Billysophist @GemsOfBollywood Bhai mere Part2 k budget tum 250cr he maan lo,,, lekin Promotion tho karega na 100cr k minimum 😂😂 am I right??So total Part 2 budget would be 350cr(Assume) {250+100}

PS1 ne Hindi Belt me literally Zero Promotion kiye. Tho brahmastra k utna promotional cost nhi honge PS ka"
1363,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
1364,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
1365,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1366,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
1367,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1368,RT @NishitShawHere: #Brahmastra almost SOLD OUT in Thailand 🇹🇭🔥🔥🔥 All credits to #AliaBhatt for her popularity in the country post #Ganguba…
1369,"RT @GemsOfBollywood: Despite millions of followers and #Brahmastra becoming the greatest blockbuster since birth of universe, #KaranJohar's…"
1370,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
1371,"RT @UmairSandu: #Brahmastra Final Verdict = FLOP ! 

Hindi Media Continue to Fool the Public with HIT verdict. 😝"
1372,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
1373,"RT @humblekapoor: RANBIR AS DEV AND SHIVA
#brahmastra 
We got dev clue way before release https://t.co/eOyJdKGQC6"
1374,"RT @sjlpdr: @UmairSandu Aur Mani Ratnam sir ki wife se expose hokar kaisa lag rha??
#Brahmastra is a success. And for proof Part 2&amp;3 are of…"
1375,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1376,RT @kamaalrkhan: Film #Brahmastra has become the biggest flop in the history of Bollywood. Watch to know why? RT for others. https://t.co/X…
1377,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1378,"@HeyyRahuul @AghorSoumitra @Billysophist @GemsOfBollywood @HeyyRahuul  Now let me say👇🏻
Brahmastra a SOLO RELEASE, HAD NO COMPETITION for 2 weeks, Released in 9000screens(highest), HIGH TICKET Price, Huge Promotion by Rajamouli, JrNTR nd all, Multi-Star cast like SRK,BigB, South legend Nagarjun+ RanbirAlia❤Combo

Still WW 420cr only😂"
1379,"RT @RanbirKUniverse: Brahmastra as well as YJHD album ruling the charts 💥💥

#brahmastra https://t.co/AcRMffSf37"
1380,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1381,"RT @Swetaakkian: #RamSetu is the second such Bollywood film after #Brahmastra, whose buzz is good without trailer and song, so there is a l…"
1382,"RT @teamsrkfc: We all loved #ShahRukhKhan in #Brahmastra 😍

@iamsrk

Now, can't wait to see him on big screen with #Pathaan 🎉 https://t.co/…"
1383,I also think he have some kind of magic thing in his left hand look closely maybe water brahmastra ? 😁🤔
1384,"RT @GemsOfBollywood: As per current assessment, #Brahmastra has been a bigger loss for its producers than #VikramVedha and hence retains th…"
1385,RT @BlogDrive: #Brahmastra is a clean Hit. Any Goon who thinks that he is a trade analyst just because some producers paid him money to sto…
1386,@ishkarnBHANDARI So Brahmastra failed...
1387,"RT @MumbaichaDon: Heard that Karan""Joker""has bid Good-bye to Twitter saying""Making space for more +ve energies; too much trolling""!!

Wonde…"
1388,"RT @humblekapoor: RANBIR AS DEV AND SHIVA
#brahmastra 
We got dev clue way before release https://t.co/eOyJdKGQC6"
